# TRAINING DATA — SYNTHETIC
accuracy,recent_accuracy,attempt_count,failure_count,avg_response_time,difficulty_adjusted_accuracy,recent_trend,prerequisite_performance,knowledge_gap
0.708,0.713,2,0,37.1,0.756,0.005,0.962,0
0.19,0.047,3,1,87.8,0.134,-0.143,0.199,1
0.863,0.857,5,1,39.3,0.864,-0.006,0.932,0
0.802,0.783,3,0,17.8,0.81,-0.019,0.947,0
0.942,1.0,5,0,44.2,0.978,0.058,0.843,0
0.886,1.0,5,0,36.1,0.89,0.114,0.73,0
0.036,0.0,2,2,73.1,0.03,-0.036,0.282,1
0.094,0.011,2,1,89.7,0.07,-0.083,0.331,1
0.416,0.438,3,3,76.1,0.355,0.022,0.128,1
0.942,0.972,1,0,42.4,0.995,0.03,0.901,0
0.225,0.296,5,3,72.2,0.169,0.071,0.381,1
0.263,0.337,5,4,69.3,0.237,0.074,0.355,1
0.021,0.0,3,3,82.4,0.015,-0.021,0.291,1
0.859,1.0,1,0,35.5,0.905,0.141,0.743,0
0.733,0.77,4,0,43.6,0.797,0.037,0.742,0
0.754,0.887,3,0,19.6,0.811,0.133,0.839,0
0.859,0.809,3,1,15.6,0.939,-0.05,0.958,0
0.792,0.754,5,0,17.6,0.83,-0.038,0.674,0
0.93,0.906,4,0,23.0,1.0,-0.024,0.798,0
0.243,0.275,3,3,75.3,0.218,0.032,0.425,1
0.855,0.829,2,0,25.1,0.905,-0.026,0.731,0
0.032,0.04,3,1,113.9,0.028,0.008,0.135,1
0.301,0.205,3,3,115.8,0.245,-0.096,0.336,1
0.942,0.93,1,0,25.6,0.981,-0.012,0.952,0
0.294,0.306,2,2,102.3,0.253,0.012,0.155,1
0.241,0.126,3,2,85.1,0.211,-0.115,0.138,1
0.957,0.927,5,0,44.1,1.0,-0.03,0.947,0
0.219,0.122,5,2,65.7,0.153,-0.097,0.295,1
0.936,0.943,5,1,19.6,0.964,0.007,0.989,0
0.863,0.963,1,0,32.5,0.906,0.1,0.948,0
0.432,0.302,3,1,93.7,0.361,-0.13,0.218,1
0.401,0.313,6,3,95.3,0.314,-0.088,0.392,1
0.98,0.971,3,0,23.0,0.993,-0.009,0.876,0
0.979,1.0,1,0,33.6,1.0,0.021,0.685,0
0.852,0.828,3,0,41.4,0.883,-0.024,0.705,0
0.911,0.983,5,0,35.0,0.962,0.072,0.976,0
0.395,0.311,2,1,72.7,0.324,-0.084,0.459,1
0.285,0.201,5,4,113.8,0.248,-0.084,0.146,1
0.783,0.734,2,1,19.8,0.818,-0.049,0.897,0
0.734,0.873,2,0,40.0,0.777,0.139,0.702,0
0.139,0.214,2,2,68.7,0.104,0.075,0.151,1
0.965,0.996,5,0,42.8,0.988,0.031,0.707,0
0.753,0.785,2,1,38.5,0.784,0.032,0.884,0
0.774,0.756,1,0,41.2,0.84,-0.018,0.728,0
0.838,0.849,2,0,15.7,0.854,0.011,0.765,0
0.99,0.996,5,1,35.4,1.0,0.006,0.766,0
0.395,0.31,6,5,57.5,0.324,-0.085,0.273,1
0.831,0.978,1,0,42.0,0.847,0.147,0.666,0
0.856,0.967,2,1,27.9,0.937,0.111,0.972,0
0.899,0.874,3,1,35.0,0.928,-0.025,0.894,0
0.758,0.841,4,0,33.5,0.781,0.083,0.842,0
0.129,0.086,6,5,85.2,0.102,-0.043,0.207,1
0.97,1.0,2,0,23.5,1.0,0.03,0.867,0
0.428,0.337,4,2,107.4,0.312,-0.091,0.123,1
0.883,0.987,4,1,41.6,0.934,0.104,0.901,0
0.18,0.067,2,1,105.6,0.134,-0.113,0.502,1
0.839,0.9,1,0,19.0,0.878,0.061,0.836,0
0.795,0.896,4,1,39.9,0.839,0.101,0.964,0
0.842,0.844,2,1,38.0,0.886,0.002,0.869,0
0.035,0.0,4,3,75.8,0.028,-0.035,0.169,1
0.312,0.339,2,2,81.5,0.252,0.027,0.308,1
0.189,0.265,6,3,110.7,0.161,0.076,0.29,1
0.158,0.196,5,3,86.7,0.119,0.038,0.343,1
0.301,0.351,3,2,114.8,0.27,0.05,0.367,1
0.878,0.961,1,0,19.1,0.919,0.083,0.668,0
0.095,0.027,5,4,103.9,0.082,-0.068,0.226,1
0.009,0.0,4,2,97.3,0.008,-0.009,0.426,1
